Word,PI Score,Tf-Idf,Loc Ind,Loc Sig,Section
point,0.264291378554,0.010086974393731313,0 0 0 7,query body statement word,NA
754,0.308892308655,0.03034014511758918,0 0 0 11,query body statement word,NA
clock,0.419288900013,0.014188476282913115,0 0 0 4,query body statement word,NA
ARM,1.0,0.09092337244561105,0 0 0 0,query body statement word,NA
shifter,1.0,0.09092337244561105,0 0 0 3,query body statement word,NA
representation,0.691863014886,0.04390075324239749,0 0 0 8,query body statement word,NA
floating,0.27186875853,0.026077434913640736,0 0 0 6,query body statement word,NA
cycles,0.362232760793,0.03785486431334652,0 0 0 5,query body statement word,NA
IEEE,0.428571428571,0.007590039112277715,0 0 0 10,query body statement word,NA
barrel,0.83216170923,0.08051181106158604,0 0 0 2,query body statement word,NA
point representation,0.166666666667,0.09918913357703024,0 0 0 7 | 0 0 0 8,query body statement word,NA
barrel shifter,0.166666666667,0.09918913357703024,0 0 0 2 | 0 0 0 3,query body statement word,NA
shifter clock,1.0,0.14256379309699954,0 0 0 3 | 0 0 0 4,query body statement word,NA
