often,0.189879583312,0.8551801788676225,extra,0.30183418853711719
brotherly,0.357736013378,0.7698456972791106,whenever,0.45851918545439502
extra,0.236989926,0.8551801788676225,often,0.3489445312251172
fights,0.480572684272,0.8040576206194586,solution,0.58583465796963041
one,-0.0927939019107,0.8107669048690509,also,0.013346407473452976
likes,0.480572684272,0.8375528603410095,solution,0.59021963605098904
home,0.596681854719,0.8594888803665414,PC,0.70920052701122704
Aron,1.0,0.7645429493197728,football,1.1000889709371895
card.,0.596681854719,0.9044265382294059,watching,0.71508347176380549
would,0.0929638491976,0.7771461759639604,like,0.19470275227585127
PC,0.621311231931,1.0,watching,0.75222470255582286
TV,1.0,0.7647628252029474,football,1.1001177556521626
since,0.0929638491976,0.7760392723797634,like,0.19455784368599699
except,0.0929638491976,0.7843410492612404,like,0.19564465810990406
fight,0.596681854719,0.8470538013821369,watching,0.70757260766388486
also,-0.150498469452,0.8107669048690509,one,-0.044358160067847013
hates,0.357736013378,0.77034422763957,whenever,0.45858444979409463
Ben,0.835627696061,0.7904077487447319,football,0.93910271765792575
watching,0.643606359246,1.0,PC,0.77451982987082268
football,0.901048902944,0.7904077487447319,Ben,1.0045239245409257
watch,0.596681854719,0.9498018973676549,PC,0.7210237175094415
oranges,0.357736013378,0.7723383490814076,whenever,0.45884550715289296
chocolate,0.596681854719,0.9949584058682117,PC,0.72693531275854872
baseball,0.740286342136,0.9227698557159949,David,0.86108934653574787
Tuner,0.596681854719,0.8972549461234972,watching,0.71414461375131544
David,0.758359563051,0.9227698557159949,baseball,0.87916256745074794
like,0.1676439652,0.8066146331798372,often,0.27324068628634079
whenever,0.280860610368,0.8450813450268029,extra,0.39149314220575204
Charles,0.835627696061,0.7759289764950221,football,0.93720725133232985
solution,0.477653525804,0.8509509562296299,loves,0.58905446881553247
fighting,0.357736013378,0.7733354098023265,whenever,0.45897603583229213
loves,0.480572684272,0.8509509562296299,solution,0.59197362728353253
David fighting,1.0,0.7640032539701629,football,1.100018317545892
extra TV,1.0,0.7646628816196862,football,1.1001046716908112
watch baseball,1.0,0.7641631637033808,football,1.1000392518840543
